,main_titles,main_users,main_times,main_texts,main_links
0,標題[新聞] 支持烏克蘭！Tesla：提供戰爭周邊地區電,作者Martin0414 (Ｍ),時間Thu Mar  3 00:04:38 2022,"1.媒體來源:新頭殼

2.記者署名:新頭殼newtalk | 陳崑翔 綜合報導

3.完整新聞標題:支持烏克蘭！Tesla：提供戰爭周邊地區電動車免費充電

4.完整新聞內文:

發布 2022.03.02 | 13:35

https://reurl.cc/GoLA7x

Tesla免費開放超級充電站，提供避難車主使用。   圖：翻攝自Tesla臉書

俄烏大戰全球矚目，各地掀起支持烏克蘭浪潮，美國電動車品牌(Tesla)也加入挺烏行列
，Tesla在2月28日對歐洲車主發出郵件表示，受戰爭影響的歐洲部分地區，將開放Tesla
的超級充電站，提供車主免費充電。

在Tesla的電郵中指出，從28日開始，將在歐洲部份地區提供特斯拉和非特斯拉汽車免費
充電。可免費充電的地點，包括了波蘭的Trzebownisko、斯洛伐克的Kosice和匈牙利的
Miskolc 與 Debrecen等鄰近於烏克蘭的地區。Tesla希望可以幫助避難的車主安心抵達安
全地點。

根據特斯拉官網上的充電站地圖顯示，目前在烏克蘭境內沒有超級充電站，而上述提到的
城市則各有一座。

https://reurl.cc/MbL8r4

Tesla發送給車主的電郵中指出，開放波蘭、斯洛伐克、匈牙利等地共四處超級充電站，
非特斯拉車款也可使用。   圖：翻攝自Twitter

5.完整新聞連結 (或短網址)需放媒體原始連結，不可用轉載媒體連結:
https://reurl.cc/RjEzAe

--",https://www.ptt.cc/bbs/Gossiping/M.1646237081.A.C5E.html
1,標題Re: [新聞] PTT刷15篇「便宜收留烏克蘭妹」　外國人,作者ai770116 (東方的神秘力量),時間Thu Mar  3 00:04:08 2022,"八卦板應該可以修板規吧

這種無端羞辱外國人的文章

經過檢舉應該要刪文處分

不然被翻譯成外文讓台灣人丟臉

這樣有害台灣的國家形象與國民外交吧

拜託，不要再出現這種丟臉丟到國外的文了

----
Sent from on my Sony XQ-BT52

--
你喜歡台灣丟臉到國外？尤其是計畫性讓台灣人丟臉國外
誰理他們，不然備註，中國人以外的外國人適用",https://www.ptt.cc/bbs/Gossiping/M.1646237050.A.A4B.html
2,標題[問卦] 宅男去烏克蘭可以交到女友嗎,作者howard24 (中信兄弟強攻強攻),時間Thu Mar  3 00:01:54 2022,"鬼島的宅男們
對就是在說你各位
現在烏克蘭正逢戰爭
前面的男生在前線作戰
後面的妹子孤單寂寞覺得冷
這時候
台灣的暖男部隊降臨烏克蘭
順利結交烏克蘭妹子當女友
這樣皆大歡喜吧
有卦嗎
嘻嘻

--",https://www.ptt.cc/bbs/Gossiping/M.1646236916.A.0D6.html
3,標題[問卦] 台灣跟烏克蘭一樣不是北約、歐盟，怎幫？,作者curtpy (為民服務),時間Wed Mar  2 23:51:40 2022,"如題，各國不能派兵幫忙的理由就是烏克蘭不是北約也不是歐盟，阿嗎靠，台灣也是啊，
台灣被打也會跟烏克蘭一樣？ 幹XDD，台灣的男生有戰力除了特種部隊就只有8+9類的..
科學園區那群每天輪班、看設備、用筆電的是要怎麼打啊…

怎辦啊 台積電現在每天上班另外再加4小時戰技訓練如何？ 12小時下班後直接接4小時戰
技訓練？

--",https://www.ptt.cc/bbs/Gossiping/M.1646236303.A.E91.html
4,標題Re: [新聞] PTT刷15篇「便宜收留烏克蘭妹」　外國人,作者kisaraki1976 (老月),時間Wed Mar  2 23:49:23 2022,"本魯看到這篇新聞
一開始覺得奇怪
15篇是有三小好講刷的
不夠稱頭啦

但仔細一看
居然有人翻譯成英文
貼上去讓人公幹
記者再去抄回來當新聞

這不禁讓本魯想起兩個新聞

一個是法國飯盒開遙控飛機去撞核電廠
好證明核電廠很安全（不安全？）
這是一個證明無論核電廠有沒有因此出事
都能看出法國飯盒
基本不把電廠附近居民生命認真當一回事

另一個新聞是去年的塔綠斑之亂
有人把其中幾篇翻譯成外文
寄給回教團體跟塔利班
然後回來洗板說閉嘴不要害臺灣被恐攻

15篇很多嗎？笑死

引述《KLGlikeshit (快樂雞好食)》之銘言：
，
是
聲
」
可
篇
妹
「
不
人
對
上
是
充
意
章
導
事
很
，

--",https://www.ptt.cc/bbs/Gossiping/M.1646236165.A.CC1.html
5,標題[問卦] 烏克蘭能扛這麼久的原因,作者kevin86tp (吉吉天兵),時間Wed Mar  2 23:45:43 2022,"大家晚安
吃宵夜沒

如題

烏俄大戰
俄羅斯這個泱泱大國
世界軍力排名前三
現實世界的戰鬥民族
從上星期開始入侵烏克蘭
全世界原本以為一個禮拜內會基輔淪陷

結果出乎意料的是
烏國人民成功扛壓到現在

未來不好說
不過魯宅我實在好奇
烏克蘭哪來的神力挺過大軍壓境跟各種轟炸

是因為
基哥沒烙跑加上人民團結
抱著必死決心一戰
還是布丁狗根本沒拿出真本事？
有卦嗎

--",https://www.ptt.cc/bbs/Gossiping/M.1646235945.A.BA5.html
6,標題[新聞] 曾大力支持中共 烏克蘭被中共戲耍,作者lightwish (穹願),時間Wed Mar  2 23:44:41 2022,"1.媒體來源:大紀元

2.記者署名:徐亦揚

3.完整新聞標題:
曾大力支持中共 烏克蘭被中共戲耍
官媒環球網曾刊文：沒烏克蘭就沒中共國防成就

4.完整新聞內文:
https://imgur.com/x8wCP1j
中共「小粉紅」的反人類言論，致使烏克蘭出現排華潮。此前，烏克蘭一直大力支持中共
。圖為2013年12月5日烏克蘭總統維克多·亞努科維奇（左）訪華，與習近平（右）簽署
《中國和烏克蘭友好合作條約》等文件。(Wang Zhao/AFP)

【大紀元2022年03月01日訊】（大紀元專題部記者徐亦揚、顧曉華採訪報導）俄羅斯入侵
烏克蘭後，由於中共「小粉紅」沒有人性的言論牽連到在烏克蘭的中國人，烏克蘭出現排
華潮。而此前，烏克蘭一直將中共當成「好夥伴」，在軍事、經貿等方面都曾大力支持中
共。

2月26日，社交媒體平台推特上一則視頻被熱傳。視頻中，一名疑似在烏克蘭的中國留學
生怒斥中共的小粉紅發表毫無人性的言論，使得在烏克蘭的中國人成為過街老鼠，淪落到
不敢承認自己是中國人的地步。

這名留學生在視頻中說：「剛才看到信息，很多中國人在網上調侃說烏克蘭戰爭打得好，
死的人越多越好，這樣的話我就有烏克蘭小媳婦了。這樣的言論已經被烏克蘭媒體集中翻
譯報導了，現在基本上所有烏克蘭人都知道了。在基輔的那些防空洞裡面，連老頭、老太
太、年輕人就直接上來問中國留學生，你們是不是真這樣？結果很多學生都不敢在地鐵裡
面待了。」

「希望國內的『鍵盤俠』們，你們留點口德，給我們一點生存機會。」他繼續說，「今天
知道我的基輔農大（農業大學）的哥們在外面是怎麼辦的嗎？有人直接問你們是哪國人，
他們說我們是Japanese（日本人）。我們連自己是中國人都不敢說了。多虧你們啊！你們
就這麼缺老婆嗎？你們連人都不是了，人家戰爭死這麼多人，你們竟說死得好，可以有烏
克蘭老婆玩兒。」

他還表示，在烏克蘭第二大城市哈爾科夫一個地方，「有一個中國人好像被槍打了。以後
在這個地方，有多少中國人被打死、被槍殺，這全多虧你們『鍵盤俠』的功勞。」

2月26日同一天，自稱身在烏克蘭的中國網民「l0nGnnn-」也在微博發貼，籲中國的小粉
紅們停止調侃戰爭。

她在微博中寫道：「現在國內收留烏克蘭美女一類的話被外媒烏媒大量轉載，導致烏克蘭
人開始出現反華情緒。戰火越來越激烈，極有可能從空襲演化為槍戰。」

「因為你們調侃而導致（中國）留學生根本沒辦法大批跟著本地人在防空洞避難，再加上
現在當地居民都能免費領槍，意味著可以以保衛國家的名義無差別開槍，現在我們不得不
把表露自己是中國人身分的一切特徵都隱藏起來，害怕下一個被誤傷的就是自己。」



在中國網絡上，充斥著這類言論：「我願意貢獻一份綿薄之力，家裡還有兩間空房，願收
容烏克蘭18至24歲的女孩子避免戰爭的傷害。」

「我只關心烏克蘭美女能不能安全進口到中國。」

「烏克蘭打仗，意味著這個國家男性將傷亡慘重，那麼就會剩下許多女人，看來我脫單有
望了。」

人在烏克蘭的中國留學生馮軍（化名）接受大紀元記者採訪時證實，因中國國內的一些輿
論傳播到烏克蘭，烏克蘭人認為中國人對這場入侵冷嘲熱諷，加上有些中國人聲稱要把烏
克蘭人的妻子、女兒接到中國，因此導致當地反華情緒特別嚴重。他也告訴記者，確實有
中國學生被槍打傷。

俄羅斯入侵當天，中共駐烏克蘭大使館號召在烏華人在車身顯眼處張貼中共五星旗；2月
26日，中共大使館又撤回上述言論，稱不要亮明身分及展示具有識別性的標識。

對此，馮軍表示，現在沒人敢舉中共五星旗，並且門上貼的春聯也全部被撕掉，「不能夠
有任何帶有明顯的標識以及有紅色的一些東西」。

對於俄羅斯入侵烏克蘭，中共官方曾這樣表面立場：「中方一貫尊重各國的主權和領土完
整」，但烏克蘭問題有其複雜和特殊性，中方「理解俄方在安全問題上的合理關切」。

中共官方媒體把俄羅斯的入侵大肆地宣傳為「解救烏克蘭」，目的是讓烏克蘭「非軍事化
、去納粹化」。在中國國內的網絡上，許多中國人認為烏克蘭該打，還拍手叫好。



「烏克蘭對中共的軍事發展起重大作用。」關注中國民主運動的月刊《北京之春》主編陳
維健日前在接受大紀元記者採訪時這樣說。

他表示，蘇聯解體後，烏克蘭處在一個轉型狀態，有很多軍事設施，包括一些軍事技術人
員一直在幫助中共。

「有一個說法，是因為烏克蘭，中共的軍力才加速了20年，有沒有這麼多不知道，但可肯
定，烏克蘭對中共軍事幫助非常大。我們知道，遼寧號航母就是從烏克蘭買來的『瓦良格
號』，而且烏克蘭方面還提供了『瓦良格號』的設計圖紙。」

中共官媒環球網曾在2014年1月的一篇文章中承認：沒烏克蘭就沒中共的國防成就。

文章中稱，中國是烏克蘭軍事工業第一大消費國，烏方期望中共在2013年後成為烏克蘭頭
號軍事技術合作夥伴。

文章引述分析人士的話稱，截至2014年1月，烏克蘭已向中國出口約30類軍事技術，其中
涉及用於航空母艦、大型艦艇的動力系統、大型運輸機設計、超音速高級教練機、坦克發
動機和空對空導彈等關鍵裝備。

文章透露，烏克蘭的軍工家底已被中共摸得一清二楚。「20年，中國（中共）幾乎從烏克
蘭拿到了想要得到的全部軍工技術。」

文章還稱，蘇聯解體後，中共利用所謂的「雙引工程」將烏克蘭的軍工人才抄底。中共仿
照韓國的人才招攬計劃，從烏克蘭請到了不少頂級專家。

當時專家的工資報酬沒有統一標準，視專家本人資歷和貢獻大小，一般1,500至2,000美元
/月，知名專家3,000至4,000美元/月，中共的「目的性很強，直奔軍工領域的關鍵技術，
通過個人關係轉讓其技術成果。」

中共海軍專家李傑形容那時的工作說，這些烏克蘭專家重視中蘇友誼，生活要求不高，工
作嚴謹，有問必答，技術、材料很爽快地提供，甚至掏心掏肺。

文章還稱，中烏軍工合作，除轉讓「瓦良格號」這一具有標誌性意義的大型項目外，在艦
船、坦克、飛機的動力系統，特別是各型發動機方面，表現最為突出。

文章稱，中共的諸多水面艦艇，「包括『瓦良格』號在內，還有『中華神盾』艦所用的燃
氣輪機DN/DA-80、中國為巴基斯坦開發的『哈立德』主戰坦克所用的柴油發動機6TD-2E、
新一代高級教練機獵鷹-15所用的發動機AI-222，以及適合高原山地直升機的發動機，均
來自烏克蘭。」



中共外交部官網上發布的信息顯示，中共和烏克蘭於1992年1月4日建交；2001年建立全面
友好合作關係，2011年共同宣布建立戰略夥伴關係。

中共聲稱，烏克蘭重視與中共的關係，在台灣、西藏、新疆、法輪功等問題上的原則立場
都與中共站在同一邊。

中共國是最早承認烏克蘭獨立的國家之一，自稱尊重烏克蘭主權、獨立和領土完整。

在經貿關係上，烏克蘭是中共在歐亞地區僅次於俄羅斯、哈薩克斯坦的第三大貿易夥伴，
中國是烏克蘭第一大貿易夥伴。2021年上半年，中烏雙邊貿易額達93.7億美元；2020年中
烏雙邊貿易額為146.6億美元。

2011年4月，中共與烏克蘭開啟雙邊合作機制，在經貿、農業、航天、科技、文化、教育
、衛生等領域進行全面合作。



2017年，烏克蘭加入了中共的「一帶一路」項目，並成為歐洲的重要樞紐。

在烏克蘭開展業務的大型中國公司包括國有的中糧集團（COFCO Corp）、國有建築商中國
太平洋建設集團（China Pacific Construction Group）和中國港灣工程有限公司（CHEC
），以及電信設備巨頭華為。

烏克蘭駐華大使館的數據顯示，2020年前三季度，中企在烏克蘭的項目投資為7570萬美元
。

據中共商務部統計，2019年中共對烏克蘭直接投資流量5332萬美元；截至2019年末，中國
對烏克蘭直接投資存量1.58億美元。

在剛剛宣布從烏克蘭獨立出來的頓涅茨克，中國電建（Power Construction Corp of
China）在2021年4月與烏克蘭風場有限公司（Wind Farm LLC）簽署了價值9.99億美元的
800兆瓦風電場協議。

2019年，中國港灣工程公司在喬爾諾莫爾斯克港（Chornomorsk）完成了一個疏浚項目。
切爾諾莫斯克港位於烏克蘭南部黑海沿岸，是烏主要港口之一。根據合同，該工程總造價
約1500萬美元。

中國太平洋建設集團在2017年簽署了在首都基輔建設地鐵線路的協議；而幫助烏克蘭發展
移動網絡的華為在2019年贏得了在基輔地鐵安裝4G網絡的投標。

2016年，中糧集團全資子公司中糧農業在烏克蘭南部的尼古拉耶夫（Nikolaev）海港啟動
了一個價值7500萬美元的糧食碼頭項目。



2013年12月，中共總書記習近平與時任烏克蘭總統亞努科維奇（Viktor Yanukovych）簽
署了《中烏友好合作條約》（簡稱《條約》）和《中烏關於進一步深化戰略夥伴關係的聯
合聲明》（簡稱《聲明》）。

《條約》第四條，中共承諾根據1994年12月4日中共向烏克蘭提供安全保證的聲明，承諾
無條件地不對作為無核武器國家的烏克蘭使用或威脅使用核武器。

第五條稱：「中方支持烏方在維護烏克蘭國家統一和領土完整等問題上的政策。」

第六條稱：「締約任何一方不採取任何損害締約另一方主權、安全或領土完整的行動。」

「締約任何一方不得允許第三國利用其領土損害締約另一方的國家主權、安全或領土完整
。」

「締約任何一方根據本國法律及其參加的國際條約，不得允許在本國領土上成立任何損害
締約另一方主權、安全或領土完整的分裂、恐怖和極端組織或團伙，並禁止其活動。」

在《聲明》中，中共再次聲稱：「在烏克蘭遭到使用核武器侵略或受到此種侵略威脅情況
下，向烏克蘭提供相應安全保證。」

美國南卡羅萊納大學艾肯商學院市場學教授暨約翰奧林棕櫚講席教授謝田在他的評論文章
中表示，中共在烏克蘭問題上，朝三暮四、信譽全無，如今落入進退兩難的境地。

他表示，俄羅斯和烏克蘭發生糾紛，與雙方都交好的中共本來有一個在國際上展現外交實
力的絕好機會，這是美國和歐盟國家都完全不具備的。可惜的是，中共外交部、中南海那
些腦滿腸肥的高官，精於權鬥和內訌、鎮壓國民，卻疏於國際關係和國際交往，錯過了一
個很好的機會。

他認為，中共很有可能在俄烏衝突中，選擇拳頭大、實力強的一方，也就是俄羅斯作為支
持的對象。而這樣做的後果，就是中共可能失去在烏克蘭的利益，也可能必須承擔西方制
裁俄羅斯時、殃及池魚的後果。

責任編輯：連書華#

5.完整新聞連結 (或短網址)需放媒體原始連結，不可用轉載媒體連結:
https://www.epochtimes.com/b5/22/3/1/n13612650.htm

6.備註:
一定要認清中共的真面目

--",https://www.ptt.cc/bbs/Gossiping/M.1646235892.A.807.html
7,標題Re: [新聞] PTT刷15篇「便宜收留烏克蘭妹」　外國人,作者miloskyman (削波快),時間Wed Mar  2 23:39:35 2022,"其實齁

第一篇報導就可以看出端倪

對此，財經網美胡采蘋便在粉專直呼

一條龍就出現了

污名台灣打政敵奇怪嗎

塔綠班的日常

--
(●_●)! 低調一點   (‧‧)nnn.....

--",https://www.ptt.cc/bbs/Gossiping/M.1646235580.A.9CD.html
8,標題[問卦] 這一刻我們都是烏克蘭人,作者kisaraki1976 (老月),時間Wed Mar  2 23:36:13 2022,"烏克蘭遭受侵略
為了守護民主
為了捍衛自由
為了疼惜囝仔
這一刻，我們都是烏克蘭人

本魯非常願意掏出50元
到加油站加油
以示支持

什麼？烏克蘭招收外國志願軍
隔壁的日本已經有70人報名
本魯我也很志願
但，剛剛說過了，這一刻，我們都是烏克蘭人
所以自然不符合「外國」的定義
所以加入烏克蘭外國志願軍
根本假議題

不要問這魔奇怪的問題好嗎

講那麼多，其實就是想問一下
加入烏克蘭外國志願軍
待遇會高於九萬嗎？
鄉民有沒有卦？









--",https://www.ptt.cc/bbs/Gossiping/M.1646235375.A.010.html
9,標題[問卦] 烏克蘭的打飯班也可以提早下戰場嗎,作者RiverEdge (MidnightCalpis),時間Wed Mar  2 23:32:18 2022,"現在烏克蘭大概是吃完晚餐的時間了啦

不過剛剛吃晚飯之前
烏克蘭的打飯班也可以提早下戰場嗎

俄羅斯那邊也是嗎

打飯班在戰場上是不是一樣爽
提早下戰場
還可以被放福利

有沒有卦

--",https://www.ptt.cc/bbs/Gossiping/M.1646235140.A.4A3.html
10,標題[新聞]親赴烏克蘭拍攝記錄戰爭 西恩潘自爆棄車徒,作者yaya (喔耶比),時間Wed Mar  2 23:25:41 2022,"1.媒體來源: 自由時報


2.記者署名:
許世穎

3.完整新聞標題:
親赴烏克蘭拍攝記錄戰爭 西恩潘自爆棄車徒步逃離

4.完整新聞內文:
俄羅斯攻打烏克蘭震撼全球，61歲奧斯卡影帝西恩潘先前被曝光現身烏克蘭，直搗前線拍
攝紀錄片欲公開戰爭真相。他1日在推特上傳自己拖著行李走在公路上的照片，並透露自
己和許多烏克蘭難民一樣，棄車徒步逃離烏克蘭，

西恩潘在照片中背著大背包、拖著行李箱，旁邊還有一整排的車子，他寫道：「我和兩位
同事把車丟在公路旁，步行數公里後到達波蘭邊界，這張照片中幾乎所有車子裡都只載婦
孺，她們大多沒有行李，汽車就是他們唯一有價值的財產。」而他的發言人也表示，西恩
潘已經平安離開了烏克蘭，但並未透露他目前行蹤。

5.完整新聞連結 (或短網址)需放媒體原始連結，不可用轉載媒體連結:
https://ent.ltn.com.tw/news/breakingnews/3845578

--",https://www.ptt.cc/bbs/Gossiping/M.1646234744.A.381.html
